"","loc","state"
"1","ALASKA","AK"
"2","ALABAMA","AL"
"3","ARKANSAS","AR"
"4","AMERICAN SAMOA","AS"
"5","ARIZONA","AZ"
"6","CALIFORNIA","CA"
"7","COLORADO","CO"
"8","CONNECTICUT","CT"
"9","DISTRICT OF COLUMBIA","DC"
"10","DELAWARE","DE"
"11","FLORIDA","FL"
"12","GEORGIA","GA"
"13","GUAM","GU"
"14","HAWAII","HI"
"15","IOWA","IA"
"16","IDAHO","ID"
"17","ILLINOIS","IL"
"18","INDIANA","IN"
"19","KANSAS","KS"
"20","KENTUCKY","KY"
"21","LOUISIANA","LA"
"22","MASSACHUSETTS","MA"
"23","MARYLAND","MD"
"24","MAINE","ME"
"25","MICHIGAN","MI"
"26","MINNESOTA","MN"
"27","MISSOURI","MO"
"28","NORTHERN MARIANA ISLANDS","MP"
"29","MISSISSIPPI","MS"
"30","MONTANA","MT"
"31","NORTH CAROLINA","NC"
"32","NORTH DAKOTA","ND"
"33","NEBRASKA","NE"
"34","NEW HAMPSHIRE","NH"
"35","NEW JERSEY","NJ"
"36","NEW MEXICO","NM"
"37","NEVADA","NV"
"38","NEW YORK","NY"
"39","NEW YORK CITY","NY"
"40","UPSTATE NEW YORK","NY"
"41","OHIO","OH"
"42","OKLAHOMA","OK"
"43","OREGON","OR"
"44","PENNSYLVANIA","PA"
"45","PUERTO RICO","PR"
"46","PAC TRUST TERR","PT"
"47","RHODE ISLAND","RI"
"48","SOUTH CAROLINA","SC"
"49","SOUTH DAKOTA","SD"
"50","TENNESSEE","TN"
"51","TEXAS","TX"
"52","UTAH","UT"
"53","VIRGINIA","VA"
"54","VIRGIN ISLANDS","VI"
"55","VERMONT","VT"
"56","WASHINGTON","WA"
"57","WISCONSIN","WI"
"58","WEST VIRGINIA","WV"
"59","WYOMING","WY"
